,num,artists,name,album,genre,duration_ms,explicit,id,track_number,is_local,popularity,available_markets,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
1066,1067,The Knocks,Exit Sign (feat. Gallant),Exit Sign (feat. Gallant),alternative dance,185571,False,320WwExOiFQ1BXvdtp7xsc,1,False,30,184,0.242,0.682,0.697,1.61e-06,0.411,-6.392,0.257,115.631,0.598
1067,1068,TOPS,Cutlass Cruiser,Sugar at the Gate,art pop,203037,False,6rnMwp1TDEw8wwbX7S9Ot9,6,False,4,0,0.691,0.795,0.416,0.0307,0.0745,-9.927,0.0404,122.962,0.641
1068,1069,TOPS,Further,Sugar at the Gate,art pop,213846,False,2AehGNzBK2YR4xGxq7NBxL,2,False,6,0,0.825,0.489,0.463,0.00184,0.0764,-9.619,0.0298,107.906,0.294
1069,1070,Rogue Wave,Eyes,Eyes,bay area indie,148866,False,3HQdwlovzULm18PjvlA5wz,1,False,0,0,0.821,0.642,0.462,2.51e-06,0.106,-8.026,0.0294,130.015,0.484
1070,1071,Beach Bunny,Ms. California,Honeymoon,bubblegrunge,172037,False,5MKKcMtwrfLtQbp6BmrC74,5,False,0,0,0.000231,0.579,0.859,0.11,0.0844,-3.938,0.0387,121.975,0.614
1071,1072,The Japanese House,Maybe You're the Reason,Good At Falling,art pop,218935,False,5Po5YmT4RhawSeqNXx5m0o,2,False,55,3,0.106,0.621,0.762,2.71e-06,0.302,-6.376,0.0328,95.014,0.395
1072,1073,TOPS,Superstition Future,Picture You Staring,art pop,232568,False,4YPRFpL86B0ZBuev6YeKXv,7,False,13,0,0.443,0.746,0.531,0.394,0.167,-7.882,0.034,126.975,0.598
1073,1074,SALES,Spiral,Forever & Ever,indie garage rock,251400,False,179eqghs0wlY7qylljuXjr,1,False,42,175,0.514,0.623,0.504,0.793,0.137,-12.285,0.0305,100.025,0.444
1074,1075,Savoir Adore,Heaven,The Love That Remains,brooklyn indie,250826,False,0N9F31rioKCVziX8aJStzQ,7,False,38,184,0.00598,0.651,0.821,0.0441,0.101,-7.458,0.0422,109.98,0.338
1075,1076,Donovan,Sunshine Superman,Sunshine Superman,art rock,195000,False,4RGxUjaCmVtD30pIhtEi7w,1,False,62,182,0.122,0.629,0.677,9.72e-06,0.0962,-7.239,0.0299,132.783,0.627
1076,1077,Duffy Power,Where Am I,The Marquis Sessions,british blues,170106,False,180QNLhcMnTjyJMEYQXdYk,3,False,37,183,0.383,0.47,0.514,0.000371,0.116,-8.043,0.0303,97.817,0.697
1077,1078,The Vogues,You're the One,The Vogues,brill building pop,131440,False,29Xdknl9fhRsV0oOYyQOKy,2,False,56,183,0.755,0.451,0.63,0.0,0.22,-8.683,0.0417,142.619,0.926
1078,1079,Fischer & Miethig,Rush Night - Hivanova Remix,Rush Night,pop,283740,False,5Hm8nfjyjAIvAWmy7NlNtq,4,False,10,184,0.143,0.881,0.43,0.868,0.41,-10.639,0.139,132.005,0.254
1079,1080,The Tads,She Is My Dream,"Cult Hits of the 1950's, Vol. 2",pop,137504,False,1UrZqBZyp5qjEY6wpiuJWN,6,False,29,183,0.891,0.48,0.441,6.81e-05,0.196,-7.053,0.0278,133.621,0.778
1080,1081,DJ Flex,Down in the DM,Down in the DM,jersey club,100463,True,2bRs25TmImvXkYlR3mQhkT,1,False,40,184,0.238,0.839,0.584,0.0249,0.112,-10.214,0.072,152.951,0.766
1081,1082,Sean Finn,The Rhythm of the Night,The Rhythm of the Night,german dance,197453,False,2pEJjOaIpVvp1gC0N40ehs,1,False,63,184,0.0386,0.672,0.944,0.153,0.0455,-2.781,0.0481,125.964,0.464
1082,1083,SAINt JHN,Roses - Imanbek Remix,Roses (Imanbek Remix),melodic rap,176218,True,7fPuWrlpwDcHm5aHCH5D9t,1,False,2,0,0.0149,0.785,0.721,0.00432,0.285,-5.457,0.0506,121.962,0.894
1083,1084,LEN,Steal My Sunshine,You Can't Stop The Bum Rush,canadian rock,265533,False,4agp6oHofabdUedr0B1krj,1,False,60,57,0.394,0.412,0.829,0.0,0.108,-11.112,0.529,191.476,0.677
1084,1085,SALES,Chinese New Year,Chinese New Year,indie garage rock,160000,False,0SIAFU49FFHwR3QnT5Jx0k,1,False,71,170,0.759,0.744,0.845,0.232,0.1,-7.422,0.253,75.221,0.749
1085,1086,Alan Fitzpatrick,Haven't You Heard - Fitzy's Half Charged Mix,Haven't You Heard,house,159230,False,1b0e8KK2tIgMkT2tub9M93,1,False,56,184,0.00339,0.828,0.903,0.693,0.256,-5.241,0.0935,130.007,0.96
1086,1087,TS7,Real Raver,Real Raver,bass house,228000,False,02npV68gKzeelg4llKdj3C,1,False,61,184,0.0594,0.871,0.938,1.81e-05,0.801,-6.039,0.113,131.004,0.465
1087,1088,MEDUZA,Lose Control,Lose Control,edm,168387,False,7CHi4DtfK4heMlQaudCuHK,1,False,82,184,0.129,0.598,0.526,0.0,0.14,-8.659,0.0415,123.935,0.529
1088,1089,Doja Cat,Say So,Hot Pink,dance pop,237893,True,3Dv1eDb0MEgF93GpLXlucZ,5,False,84,184,0.264,0.787,0.673,3.35e-06,0.0904,-4.583,0.159,110.962,0.779
1089,1090,Love Spread,Flowers in the Dark,Host in the Hell,pop,212653,False,2w88fStsAVKs4uuqSDrPND,3,False,5,184,0.0558,0.504,0.981,3.56e-06,0.759,-4.791,0.0557,130.121,0.685
1090,1091,Avicii,Wake Me Up,True,dance pop,247426,False,4h8VwCb1MTGoLKueQ1WgbD,1,False,11,0,0.0038,0.532,0.783,0.0012,0.161,-5.697,0.0523,124.08,0.643
1091,1092,Fraxiom,That's Combustible,False Prophet,escape room,134379,False,3n7ye2Yo1vwei2GrAEM4jI,2,False,20,184,0.00299,0.547,0.903,0.00139,0.358,-4.204,0.304,144.874,0.61
1092,1093,New Order,Blue Monday '88 - 2015 Remaster,Singles (2016 Remaster),art rock,251973,False,3PQEaRs2JEwtk79IqbQYt1,15,False,53,184,2.79e-05,0.701,0.878,0.522,0.0608,-7.911,0.035,130.512,0.875
1093,1094,Disco Fries,Moving Mountains - GATTÜSO Remix,Moving Mountains (GATTÜSO Remix),deep tropical house,182295,False,3qBnc1nWty6LjPIjXuAigw,1,False,46,176,0.0488,0.643,0.925,2.82e-05,0.159,-5.642,0.0377,121.969,0.616
1094,1095,WALK THE MOON,Shut Up and Dance,TALKING IS HARD (Expanded Edition),dance pop,199080,False,0kzw2tRyuL9rzipi5ntlIy,3,False,66,184,0.00701,0.578,0.866,0.0,0.257,-3.804,0.0619,128.038,0.619
1095,1096,Hey Buko,Trippin on a Rainbow,Hey What?,pop,207529,False,4TDotMfnqwqvYjmDfY7j4q,2,False,0,0,0.0936,0.769,0.821,2.74e-06,0.0222,-5.392,0.0613,85.005,0.786
1096,1097,Scraton,Cyberpink,Cyberpink,pop,269413,False,4rFJokWJNkqi83bXJVzaUT,1,False,12,184,0.014,0.676,0.781,0.00429,0.344,-2.389,0.0818,173.983,0.477
1097,1098,Teminite,Beastmode,Inception,edm,321221,False,7JDvTEzwcsawT5hOTvJgRs,5,False,46,183,8.47e-05,0.458,0.962,0.841,0.387,-5.128,0.0434,86.995,0.515
1098,1099,KOYOTIE,Ready Set Let's Go,Land of the Living,pop,189029,False,2KywLxfpxxBQYzwnz9UW8R,2,False,0,0,0.0585,0.838,0.91,0.00122,0.172,-2.89,0.0891,102.989,0.631
1099,1100,Castlecomer,Fire Alarm [Feat. Welshly Arms],Fire Alarm [Feat. Welshly Arms],indie poptimism,218786,False,7qxtgEqJ1Je4jjlvQCkDKB,1,False,41,184,4.61e-05,0.499,0.886,0.00553,0.184,-4.716,0.0711,144.917,0.422
1100,1101,Mob Rich,Blink,Our First Second EP,pop,204213,False,3trnODeReFmNP9VaxIYOPu,2,False,24,184,0.00228,0.634,0.598,4.17e-05,0.142,-7.806,0.0406,149.934,0.528
1101,1102,courtship.,Perfect People,Denial in Paradise,hopebeat,208000,False,6rIFrdI3yZh6vNYqf3tDlw,4,False,0,0,0.00614,0.648,0.949,0.00699,0.6,-3.5,0.0458,125.97,0.927
1102,1103,FUKC,Ride,Je Suis Meh,pop,167750,False,0eN70cVsOLYSnvPV4JJElo,5,False,35,184,0.0144,0.732,0.827,0.0893,0.113,-4.547,0.0374,126.011,0.89
1103,1104,Queen,Don't Stop Me Now - Remastered 2011,Jazz (Deluxe Remastered Version),classic rock,209413,False,7hQJA50XrCWABAu5v6QZ4i,12,False,74,2,0.0472,0.563,0.865,0.000191,0.77,-5.277,0.16,156.271,0.601
1104,1105,Extreme Music,Glory Days,Glory Pop 2,rebel blues,147786,False,6kWHieOChgnY7zpEXA9Kr5,1,False,24,184,0.013,0.579,0.65,2.36e-06,0.0683,-7.031,0.0311,80.011,0.516
1105,1106,Belle & Sebastian,The Party Line,Girls in Peacetime Want to Dance,alternative rock,254115,False,05wFHt1ZAsFU8GKbHV7nxo,3,False,0,0,0.0148,0.655,0.746,4.42e-06,0.102,-6.876,0.0481,116.986,0.675
1106,1107,Nathan Kawanishi,Akira,Akira,pop,131866,False,1psFLvFKepB9ZL0QGFo0xl,1,False,0,0,0.729,0.886,0.481,0.889,0.129,-11.502,0.196,85.0,0.663
1107,1108,Hanz,Bewildered,Leaving For Good,chillhop,155887,False,3zBW8HNLcaWxq4eb4UcmDr,1,False,0,0,0.529,0.345,0.184,0.523,0.35,-16.232,0.0412,176.054,0.107
1108,1109,Ratatat,Loud Pipes,Classics,alternative dance,226533,False,5ZrrXIYTvjXPKVQMjqaumR,6,False,0,0,0.109,0.718,0.703,0.822,0.208,-7.162,0.0382,87.975,0.858
